Name,Address
 Streamline Scientific,"2868 Acton Rd, Birmingham, AL, 35243"
 Streamline Scientific Austin,"13413 Galleria Cir Q-140, Austin, TX, 78738"
5 Points West Foot Center,"1529 Bessemer Rd #A, Birmingham, AL, 35208"
Abaco System Memorial ,"12090 Memorial Pkwy SW, Huntsville , AL, 35803"
Abaco System Redstone,"8800 Redstone Gateway Ste 200, Huntsville, AL, 35808"
ABC Family Medicine,"24 County Rd 262, Hanceville, AL, 35077"
ABC Pediatrics Killeen,"3004 WS Young Dr, Killeen, TX, 76542"
Abidi Family Practice ,"401 Lowell Dr Sr Ste 19, Huntsville , AL, 35801"
Acton Road Pediatrics,"2409 Acton Rd, Birmingham, AL, 35243"
Acton Road Pediatrics Midday,"2409 Acton Rd, Birmingham, AL, 35243"
Adams Family Practice,"1323 Mulberry St, Montgomery, AL, 36106"
Adar Dermatology Bham,"972 Montclair Rd #100, Birmingham, AL, 35213"
Adar Dermatology Jasper,"1606 Hwy 78 W, Jasper, AL, 35501"
"ADC OBGYN - Austin, TX","12221 N Mopac Expy, Austin , TX, 78758"
Adult Care of Austin,"7201 Menchaca Rd. Ste B, Austin, TX, 78745"
Advanced Dermatology & Skin Care - Mobile,"580 Providence Park Dr. E Second Floor, Mobile, AL, 36695"
Advanced Dermatology Daphne,"8573 County Road 64, Daphne, AL, 36526"
Advanced Wound Center,"15243 Greenfield Drive, Athens, AL, 35613"
Agape Family Medicine- Atmore,"706 East Laurel St, Atmore, AL, 36502"
Agape Medical Clinic- Hamilton,"1911 Military St South, Hamilton, AL, 35570"
Ala Center for Urogynecology & Pelvic Pain Dr Parnell,"2006 Brookwood Medical Center Dr, #405, Birmingham, AL, 35209"
Ala Urogyno Dr Parnell Midday,"2006 Brookwood Medical Center Dr Ste 405, Birmingham, AL, 35209"
Alabama Allergy and Asthma  Homewood,"504 Brookwood Blvd, Birmingham, AL, 35209"
Alabama Allergy and Asthma Cullman,"2108 Highway 154, Cullman, AL, 35058"
Alabama Allergy and Asthma Oxford,"641 Snow Street, Oxford, AL, 36203"
Alabama Dermatology Associates,"4410 Watermelon Road, Northport , AL, 35473"
Alabama ENT- Tuscaloosa,"302 Merchants Walk #100, Tuscaloosa, AL, 35406"
Alabama Family Medicine - Alabaster,"300 1st St N, Suite C, Alabaster, AL, 35007"
Alabama Family Practice,"370 St Lukes Dr, Montgomery, AL, 36117"
Alabama Foot Institute,"2000 Stonegate Trail, Suite 112, Vestavia Hills, AL, 35242"
Alabama Foot Specialist Mobile,"5614 Cottage Hill Road, Mobile, AL, 36609"
Alabama Internal Medicine - Trussville,"3536 Vann Rd suite B, Birmingham, AL, 35235"
Alabama Nasal and Sinus Ste 207,"7191 Cahaba Valley Rd St 207, Birmingham , AL, 35242"
Alabama OBGYN - Birmingham,"3401 Independence Dr #221, Birmingham, AL, 35209"
Alabama Oncology - Alabaster,"1024 1st St N, Alabaster, AL, 35007"
Alabama Oncology - Bessemer,"5000 Medical West Way #610, Bessemer, AL, 35022"
Alabama Oncology - Brookwood,"2022 Medical Center Dr #628, Birmingham, AL, 35209"
